Club Name,Court Number,Date,Start Hour,Start Time,End Time,Bookable,Court Booking Link,Location
"UE Tennis","Court 5","2025-06-06","09:00","09:15","10:15","0","","Richmond"
"UE Tennis","Court 5","2025-06-06","10:00","10:30","11:30","0","","Richmond"
"UE Tennis","Court 5","2025-06-06","11:00","11:45","12:45","0","","Richmond"
"UE Tennis","Court 5","2025-06-06","13:00","13:00","14:00","0","","Richmond"
"UE Tennis","Court 5","2025-06-06","14:00","14:15","15:15","0","","Richmond"
"UE Tennis","Court 5","2025-06-06","15:00","15:30","16:30","0","","Richmond"
"UE Tennis","Court 5","2025-06-06","16:00","16:45","17:45","0","","Richmond"
"UE Tennis","Court 5","2025-06-06","18:00","18:00","19:00","0","","Richmond"
"UE Tennis","Court 5","2025-06-06","19:00","19:15","20:15","0","","Richmond"
"UE Tennis","Court 5","2025-06-06","20:00","20:30","21:30","0","","Richmond"
"UE Tennis","Court 5","2025-06-07","08:00","08:30","09:30","0","","Richmond"
"UE Tennis","Court 5","2025-06-07","09:00","09:45","10:45","0","","Richmond"
"UE Tennis","Court 5","2025-06-07","11:00","11:00","12:00","0","","Richmond"
"UE Tennis","Court 5","2025-06-07","12:00","12:15","13:15","0","","Richmond"
"UE Tennis","Court 5","2025-06-07","13:00","13:30","14:30","0","","Richmond"
"UE Tennis","Court 5","2025-06-07","14:00","14:45","15:45","0","","Richmond"
"UE Tennis","Court 5","2025-06-07","16:00","16:00","17:00","0","","Richmond"
"UE Tennis","Court 5","2025-06-07","17:00","17:15","18:15","0","","Richmond"
"UE Tennis","Court 5","2025-06-07","18:00","18:30","19:30","0","","Richmond"
"UE Tennis","Court 5","2025-06-07","19:00","19:45","20:45","0","","Richmond"
"UE Tennis","Court 5","2025-06-07","21:00","21:00","22:00","0","","Richmond"
"UE Tennis","Court 5","2025-06-08","08:00","08:00","09:00","0","","Richmond"
"UE Tennis","Court 5","2025-06-08","09:00","09:15","10:15","0","","Richmond"
"UE Tennis","Court 5","2025-06-08","10:00","10:30","11:30","0","","Richmond"
"UE Tennis","Court 5","2025-06-08","11:00","11:45","12:45","0","","Richmond"
"UE Tennis","Court 5","2025-06-08","13:00","13:00","14:00","0","","Richmond"
"UE Tennis","Court 5","2025-06-08","14:00","14:15","15:15","0","","Richmond"
"UE Tennis","Court 5","2025-06-08","15:00","15:30","16:30","0","","Richmond"
"UE Tennis","Court 5","2025-06-08","16:00","16:45","17:45","0","","Richmond"
"UE Tennis","Court 5","2025-06-08","18:00","18:00","19:00","0","","Richmond"
"UE Tennis","Court 5","2025-06-08","19:00","19:15","20:15","0","","Richmond"
"UE Tennis","Court 5","2025-06-08","20:00","20:30","21:30","0","","Richmond"
"UE Tennis","Court 5","2025-06-09","08:00","08:00","09:00","0","","Richmond"
"UE Tennis","Court 5","2025-06-09","09:00","09:15","10:15","0","","Richmond"
"UE Tennis","Court 5","2025-06-09","10:00","10:30","11:30","0","","Richmond"
"UE Tennis","Court 5","2025-06-09","11:00","11:45","12:45","0","","Richmond"
"UE Tennis","Court 5","2025-06-09","13:00","13:00","14:00","0","","Richmond"
"UE Tennis","Court 5","2025-06-09","14:00","14:15","15:15","0","","Richmond"
"UE Tennis","Court 5","2025-06-09","15:00","15:30","16:30","0","","Richmond"
"UE Tennis","Court 5","2025-06-09","16:00","16:45","17:45","0","","Richmond"
"UE Tennis","Court 5","2025-06-09","19:00","19:30","20:30","0","","Richmond"
"UE Tennis","Court 5","2025-06-09","20:00","20:45","21:45","0","","Richmond"
"UE Tennis","Court 5","2025-06-10","08:00","08:00","09:00","0","","Richmond"
"UE Tennis","Court 5","2025-06-10","09:00","09:15","10:15","0","","Richmond"
"UE Tennis","Court 5","2025-06-10","10:00","10:30","11:30","0","","Richmond"
"UE Tennis","Court 5","2025-06-10","11:00","11:45","12:45","0","","Richmond"
"UE Tennis","Court 5","2025-06-10","13:00","13:00","14:00","0","","Richmond"
"UE Tennis","Court 5","2025-06-10","14:00","14:15","15:15","0","","Richmond"
"UE Tennis","Court 5","2025-06-10","15:00","15:30","16:30","0","","Richmond"
"UE Tennis","Court 5","2025-06-10","16:00","16:45","17:45","0","","Richmond"
"UE Tennis","Court 5","2025-06-10","18:00","18:00","19:00","0","","Richmond"
"UE Tennis","Court 5","2025-06-10","19:00","19:15","20:15","0","","Richmond"
"UE Tennis","Court 5","2025-06-10","20:00","20:30","21:30","0","","Richmond"
"UE Tennis","Court 5","2025-06-11","08:00","08:00","09:00","0","","Richmond"
"UE Tennis","Court 5","2025-06-11","09:00","09:15","10:15","0","","Richmond"
"UE Tennis","Court 5","2025-06-11","10:00","10:30","11:30","0","","Richmond"
"UE Tennis","Court 5","2025-06-11","11:00","11:45","12:45","0","","Richmond"
"UE Tennis","Court 5","2025-06-11","13:00","13:00","14:00","0","","Richmond"
"UE Tennis","Court 5","2025-06-11","14:00","14:15","15:15","0","","Richmond"
"UE Tennis","Court 5","2025-06-11","15:00","15:30","16:30","0","","Richmond"
"UE Tennis","Court 5","2025-06-11","16:00","16:45","17:45","0","","Richmond"
"UE Tennis","Court 5","2025-06-11","18:00","18:00","19:00","0","","Richmond"
"UE Tennis","Court 5","2025-06-11","19:00","19:15","20:15","0","","Richmond"
"UE Tennis","Court 5","2025-06-11","20:00","20:30","21:30","0","","Richmond"
"UE Tennis","Court 5","2025-06-12","08:00","08:00","09:00","0","","Richmond"
"UE Tennis","Court 5","2025-06-12","09:00","09:15","10:15","0","","Richmond"
"UE Tennis","Court 5","2025-06-12","10:00","10:30","11:30","0","","Richmond"
"UE Tennis","Court 5","2025-06-12","11:00","11:45","12:45","0","","Richmond"
"UE Tennis","Court 5","2025-06-12","13:00","13:00","14:00","0","","Richmond"
"UE Tennis","Court 5","2025-06-12","14:00","14:15","15:15","0","","Richmond"
"UE Tennis","Court 5","2025-06-12","15:00","15:30","16:30","0","","Richmond"
"UE Tennis","Court 5","2025-06-12","16:00","16:45","17:45","0","","Richmond"
"UE Tennis","Court 5","2025-06-12","19:00","19:15","20:15","0","","Richmond"
"UE Tennis","Court 5","2025-06-12","20:00","20:30","21:30","0","","Richmond"
"UE Tennis","Court 5","2025-06-13","08:00","08:00","09:00","0","","Richmond"
"UE Tennis","Court 5","2025-06-13","09:00","09:15","10:15","0","","Richmond"
"UE Tennis","Court 5","2025-06-13","10:00","10:30","11:30","0","","Richmond"
"UE Tennis","Court 5","2025-06-13","11:00","11:45","12:45","0","","Richmond"
"UE Tennis","Court 5","2025-06-13","13:00","13:00","14:00","0","","Richmond"
"UE Tennis","Court 5","2025-06-13","14:00","14:15","15:15","0","","Richmond"
"UE Tennis","Court 5","2025-06-13","15:00","15:30","16:30","0","","Richmond"
"UE Tennis","Court 5","2025-06-13","16:00","16:45","17:45","0","","Richmond"
"UE Tennis","Court 5","2025-06-13","18:00","18:00","19:00","0","","Richmond"
"UE Tennis","Court 5","2025-06-13","19:00","19:15","20:15","0","","Richmond"
"UE Tennis","Court 5","2025-06-13","20:00","20:30","21:30","0","","Richmond"
